publisher,grade,unit,word,part_of_speech,translation,sentence_example
南一,八上,lesson 2,because,conj.,因為,Ken took a bus to school this morning because he couldn’t find his bike.
南一,八上,lesson 2,poor,adj.,貧窮的；可憐的,Tom was poor two years ago.
南一,八上,lesson 2,happen,v.,發生,What happened in class today?
南一,八上,lesson 2,hit（過去式為 hit）,v.,打,A ball just hit the car.
南一,八上,lesson 2,terrible,adj.,糟糕的,This is a terrible story.
南一,八上,lesson 2,ever,adv.,曾經,Did you ever watch this movie before?
南一,八上,lesson 2,finish,v.,完成,Jane always finishes her homework on time.
南一,八上,lesson 2,not...anymore,phr.,不再,Karen does not need this bag anymore.
南一,八上,lesson 2,curious,adj.,好奇的,I'm really curious about the answer. Please tell me.
南一,八上,lesson 2,ending,n.,結局,What is the ending of the movie?
南一,八上,lesson 2,stand,v.,忍受,"She couldn't stand her husband, so she ran away."
南一,八上,lesson 2,shoe(s),n.,鞋子,Your shoes are beautiful. Are they new?
南一,八上,lesson 2,buy（過去式為 bought）,v.,購買,The robot is cool. Can I buy it?
南一,八上,lesson 2,pair,n.,一雙,I bought a pair of bamboo chopsticks.
南一,八上,lesson 2,pick,v.,摘採,I picked some fruit this morning.
南一,八上,lesson 2,chocolate,n.,巧克力,Chocolate cake is my favorite. What about you?
南一,八上,lesson 2,break（過去式為 broke）,v.,折斷；破裂,Don’t break that cup. It’s Mom’s favorite.
南一,八上,lesson 2,arm,n.,手臂,Cindy is sleeping in her dad’s arms.
南一,八上,lesson 2,computer,n.,電腦,Jenny is playing computer games in her room.
南一,八上,lesson 2,choose（過去式為 chose）,v.,選擇 ,We can’t choose our parents.
南一,八上,lesson 2,children（child的 複數形）,n.,小孩,Mr. and Mrs. Wang have two children.
南一,八上,lesson 2,age,n.,年齡,That girl is about my sister's age.
南一,八上,lesson 2,without,prep.,沒有,I can’t finish this artwork without you.
南一,八上,lesson 2,baby,n.,嬰兒,"Shh, the baby is sleeping."
南一,八上,lesson 2,become（過去式為 became）,v.,成為；變成,Miller became a doctor at the age of thirty.
南一,八上,lesson 2,cry,v.,哭泣,Lily cried yesterday because her dog died.
南一,八上,lesson 2,nobody,pron.,沒有人,Today is Sunday. Nobody is in the classroom.
南一,八上,lesson 2,scared,adj.,害怕的,Andy is scared of big dogs.
南一,八上,lesson 2,take action（過去式為 took action）,phr.,採取行動,We should take action now.
南一,八上,lesson 2,marriage,n.,婚姻,Child marriage is a problem around the world. Let's do something about it.
南一,八上,lesson 3,king,n.,國王,The king became a frog in the story.
南一,八上,lesson 3,wet,adj.,濕的,It's raining. I'm all wet.
南一,八上,lesson 3,mud,n.,泥土,There's mud all over the table.
南一,八上,lesson 3,deep,adj.,深的,Don’t swim in this river. The water is very deep.
南一,八上,lesson 3,beside,prep.,在……旁邊,The restaurant is beside the school.
南一,八上,lesson 3,before,conj.,在……之前,I watched TV before I went to bed.
